time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-31T02:34:13.422Z,-23.294,-179.8039,537.4,4.6,mb,,117,10.123,0.74,us,us70006ssq,2019-12-31T03:00:00.040Z,"South of the Fiji Islands",earthquake,12.5,9.5,0.055,99,reviewed,us,us
2019-12-31T02:03:00.304Z,-33.3601,-178.4265,10,5,mb,,166,4.124,0.68,us,us70006ssh,2019-12-31T02:22:32.848Z,"218km SSE of L'Esperance Rock, New Zealand",earthquake,8,1.9,0.126,20,reviewed,us,us
2019-12-31T01:04:00.258Z,56.4869,-148.2447,10,3.5,ml,,256,2.698,0.94,us,us70006ss9,2019-12-31T01:34:33.040Z,"290km ESE of Kodiak, Alaska",earthquake,9.9,2,0.042,76,reviewed,us,us
2019-12-31T00:52:51.117Z,35.6732,74.716,10,4.2,mb,,99,2.344,1.18,us,us70006ss4,2019-12-31T01:13:53.040Z,"38km NNW of Idgah, Pakistan",earthquake,9.6,1.9,0.132,16,reviewed,us,us
2019-12-31T00:21:09.002Z,55.2401,161.1817,109.28,4.5,mb,,113,2.674,0.67,us,us70006srq,2019-12-31T00:50:54.040Z,"136km SW of Ust'-Kamchatsk Staryy, Russia",earthquake,9.1,6.8,0.04,189,reviewed,us,us
2019-12-30T23:31:43.580Z,35.9433327,-120.0043335,7.81,2.74,md,42,104,0.2296,0.1,nc,nc73321576,2019-12-31T03:34:02.875Z,"8km SSW of Kettleman City, CA",earthquake,0.56,1.01,0.18,26,automatic,nc,nc
2019-12-30T23:28:51.340Z,37.7093315,-122.1096649,4.63,2.67,md,76,28,0.01666,0.09,nc,nc73321571,2019-12-31T03:52:11.675Z,"3km NW of Castro Valley, CA",earthquake,0.12,0.3,0.12,83,automatic,nc,nc
2019-12-30T22:37:00.570Z,19.436,-66.2138,33,3.16,md,9,310,1.1345,0.26,pr,pr2019364036,2019-12-31T02:18:35.789Z,"107km N of San Juan, Puerto Rico",earthquake,2.15,17.27,0.13,6,reviewed,pr,pr
2019-12-30T22:09:16.880Z,17.8811,-66.8703,8,2.52,md,13,227,0.0944,0.26,pr,pr2019364034,2019-12-30T22:35:18.040Z,"13km SSE of Guanica, Puerto Rico",earthquake,0.94,1.32,0.41,13,reviewed,pr,pr
2019-12-30T22:01:13.990Z,35.7645,-117.5773333,5.94,2.51,ml,31,64,0.0537,0.14,ci,ci39017999,2019-12-30T22:11:57.180Z,"16km W of Searles Valley, CA",earthquake,0.2,0.65,0.137,26,automatic,ci,ci
2019-12-30T22:00:10.428Z,43.9163,-111.1063,5.29,3.1,ml,,83,0.284,0.44,us,us70006spn,2019-12-31T03:48:36.025Z,"21km N of Driggs, Idaho",earthquake,1.5,1.4,0.059,38,reviewed,us,us
2019-12-30T20:46:02.498Z,-24.7954,-69.8641,76.98,3.9,mb,,127,0.442,0.39,us,us70006snk,2019-12-30T21:45:35.040Z,"91km NE of Taltal, Chile",earthquake,5.1,4.3,0.361,2,reviewed,us,us
2019-12-30T20:44:11.223Z,59.7246,-152.3059,65.7,3.4,ml,,,,0.61,ak,ak019gqbsg6w,2019-12-30T22:27:28.046Z,"27km WSW of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-12-30T20:34:22.699Z,56.5019,-148.5349,10,3.4,ml,,253,2.552,0.73,us,us70006sp2,2019-12-30T21:27:07.040Z,"274km ESE of Kodiak, Alaska",earthquake,3.9,2,0.051,50,reviewed,us,us
2019-12-30T20:11:12.000Z,17.8876,-66.8863,3,2.56,md,14,227,0.0878,0.35,pr,pr2019364021,2019-12-30T21:20:49.040Z,"12km SSE of Guanica, Puerto Rico",earthquake,1.08,0.78,0.35,13,reviewed,pr,pr
2019-12-30T19:59:20.950Z,17.8796,-66.8245,11,2.75,md,14,224,0.1101,0.34,pr,pr2019364020,2019-12-30T21:11:44.040Z,"15km S of Indios, Puerto Rico",earthquake,1.07,1.15,0.38,14,reviewed,pr,pr
2019-12-30T19:57:02.690Z,41.4988333,-108.7973333,6.48,2.7,ml,13,185,0.5438,0.17,uu,uu60355827,2019-12-30T20:15:24.010Z,"35km ESE of Rock Springs, Wyoming",earthquake,0.63,1.11,0.251,4,reviewed,uu,uu
2019-12-30T19:42:21.073Z,65.4517,-153.9323,40.4,2.7,ml,,,,0.98,ak,ak019gqb6lyf,2019-12-30T19:46:18.329Z,"91km WNW of Tanana, Alaska",earthquake,,20.8,,,automatic,ak,ak
2019-12-30T19:41:56.770Z,66.2826,-157.2465,10,2.7,ml,,98,0.693,0.52,us,us70006sm9,2019-12-30T20:52:51.040Z,"71km SSW of Kobuk, Alaska",earthquake,4.1,2,,,reviewed,us,ak
2019-12-30T19:36:32.570Z,59.238,-136.2453,4.2,2.6,ml,,,,0.84,ak,ak019gqb5civ,2019-12-30T20:42:49.040Z,"45km W of Haines, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-12-30T19:20:16.881Z,35.5742,74.5691,10,4.5,mb,,75,2.198,0.82,us,us70006sly,2019-12-30T20:36:47.281Z,"36km NW of Idgah, Pakistan",earthquake,7.1,1.9,0.085,41,reviewed,us,us
2019-12-30T19:15:20.730Z,39.7801666,-121.9821701,17.1,2.62,md,16,45,0.1979,0.18,nc,nc73321511,2019-12-30T23:06:03.622Z,"5km NNE of Hamilton City, CA",earthquake,0.57,1.35,0.23,17,automatic,nc,nc
2019-12-30T19:07:19.100Z,17.9081,-66.836,7,2.51,md,14,216,0.0797,0.18,pr,pr2019364014,2019-12-31T03:09:58.046Z,"10km SE of Guanica, Puerto Rico",earthquake,0.66,0.4,0.25,12,reviewed,pr,pr
2019-12-30T19:07:15.173Z,61.0107,-152.3527,114.2,2.5,ml,,,,0.52,ak,ak019gqaz3dp,2019-12-30T19:13:08.040Z,"62km NNE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-12-30T18:58:20.268Z,7.2992,-78.6598,10,4.6,mb,,105,4.256,0.5,us,us70006sll,2019-12-30T20:09:11.040Z,"59km WSW of Jaque, Panama",earthquake,9.8,2,0.069,63,reviewed,us,us
2019-12-30T18:43:36.538Z,28.8748,142.4579,10,4.9,mb,,124,1.788,0.55,us,us70006sla,2019-12-30T19:53:15.040Z,"199km N of Chichi-shima, Japan",earthquake,5.2,1.9,0.047,142,reviewed,us,us
2019-12-30T18:41:34.900Z,33.5778333,-116.8151667,3.35,2.51,ml,93,15,0.04547,0.23,ci,ci39017831,2019-12-30T19:25:23.123Z,"13km W of Anza, CA",earthquake,0.18,0.59,0.107,26,automatic,ci,ci
