time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-07-23T15:29:11.132Z,0.5848,100.0142,166.244,4.3,mb,38,46,1.057,0.88,us,us7000hszc,2022-10-01T22:09:45.040Z,"106 km NNW of Bukittinggi, Indonesia",earthquake,7.37,4.348,0.103,27,reviewed,us,us
2022-04-03T13:30:02.249Z,0.7243,99.8612,156.55,4.4,mb,,130,1.242,0.66,us,us7000gzdg,2022-06-11T20:21:00.040Z,"97 km SE of Padangsidempuan, Indonesia",earthquake,7.2,6.3,0.072,58,reviewed,us,us
2021-01-14T19:47:55.857Z,0.4802,99.7605,133.92,4.3,mb,,144,2.332,0.43,us,us7000d2ec,2021-03-20T21:25:49.040Z,"110 km NW of Bukittinggi, Indonesia",earthquake,7.7,7.2,0.142,14,reviewed,us,us
2020-12-15T18:31:58.183Z,0.861,99.9741,40.58,4.3,mb,,100,1.19,0.7,us,us7000cs6k,2021-02-20T16:12:48.040Z,"96 km SE of Padangsidempuan, Indonesia",earthquake,3.3,8.6,0.168,11,reviewed,us,us
2020-01-21T11:03:08.236Z,0.6338,99.8039,159.16,4.7,mb,,139,1.272,0.7,us,us60007c1h,2020-04-08T19:39:47.040Z,"101 km SE of Padangsidempuan, Indonesia",earthquake,4.8,5.3,0.087,40,reviewed,us,us
2019-12-04T04:54:01.918Z,0.5676,99.8691,167.24,4.7,mb,,71,2.314,0.6,us,us60006lv8,2020-02-29T19:53:02.040Z,"111 km SE of Padangsidempuan, Indonesia",earthquake,5.2,6,0.075,54,reviewed,us,us
2019-10-15T09:54:18.466Z,0.6485,99.7038,144.2,4.3,mb,,98,1.373,0.85,us,us70005xq3,2020-01-03T16:09:16.040Z,"94 km SSE of Padangsidempuan, Indonesia",earthquake,8.8,9.2,0.188,8,reviewed,us,us
2019-08-21T10:24:48.084Z,0.4257,99.8268,147.71,4,mb,,168,1.216,0.85,us,us700058u6,2019-11-08T22:13:51.040Z,"101 km NW of Bukittinggi, Indonesia",earthquake,8.4,7.7,0.183,9,reviewed,us,us
2018-06-21T00:13:22.310Z,0.8519,99.4156,10,4.3,mb,,115,1.705,1.16,us,us1000ewzq,2018-09-19T15:15:51.040Z,"60 km SSE of Padangsidempuan, Indonesia",earthquake,4.2,1.8,0.129,17,reviewed,us,us
2018-05-28T07:27:04.110Z,0.5135,99.8919,162.32,4.3,mb,,120,1.162,0.71,us,us1000egfh,2018-08-28T16:27:34.040Z,"105 km NNW of Bukittinggi, Indonesia",earthquake,8.5,6,0.201,7,reviewed,us,us
2018-02-20T03:09:20.910Z,0.8532,99.972,177.27,4.4,mb,,101,1.189,0.69,us,us2000d542,2018-05-22T02:00:18.040Z,"97 km SE of Padangsidempuan, Indonesia",earthquake,6.1,6.1,0.088,37,reviewed,us,us
2017-10-15T14:26:25.390Z,0.6029,100.0556,177.13,4,mb,,162,1.021,0.62,us,us1000aupf,2018-01-11T02:22:02.040Z,"106 km NNW of Bukittinggi, Indonesia",earthquake,7,8.7,0.212,6,reviewed,us,us
2017-05-06T10:21:00.830Z,0.6064,99.539,10,4.8,mb,,69,1.526,0.54,us,us10008q2b,2017-07-29T03:16:25.040Z,"90 km SSE of Padangsidempuan, Indonesia",earthquake,6.1,1.9,0.091,37,reviewed,us,us
2017-04-29T17:52:21.560Z,0.6101,99.5331,10,4.7,mwr,,74,1.532,0.63,us,us10008m1q,2017-07-21T02:32:12.040Z,"89 km SSE of Padangsidempuan, Indonesia",earthquake,3.4,1.8,0.089,12,reviewed,us,us
2017-04-02T12:59:20.320Z,0.4105,99.7847,140.91,4,mb,,99,1.257,1.16,us,us10008fhs,2017-06-23T07:26:27.040Z,"102 km NW of Bukittinggi, Indonesia",earthquake,9.5,10.5,0.211,6,reviewed,us,us
2017-02-15T17:33:22.900Z,0.4888,99.7436,153.29,4.5,mb,,135,1.306,0.86,us,us20008k0x,2017-05-13T01:03:21.040Z,"111 km SSE of Padangsidempuan, Indonesia",earthquake,7,7.9,0.104,27,reviewed,us,us
2016-09-29T23:05:19.710Z,0.5615,100.1977,181.77,4.2,mb,,135,0.873,0.54,us,us20007di5,2016-12-14T03:17:57.040Z,"98 km NNW of Bukittinggi, Indonesia",earthquake,8.5,7.6,0.121,19,reviewed,us,us
2016-09-21T16:50:00.890Z,0.4361,100.0846,162.5,4.1,mb,,140,0.961,0.68,us,us10006u38,2016-12-12T23:01:35.040Z,"88 km NNW of Bukittinggi, Indonesia",earthquake,7.9,7.7,0.109,23,reviewed,us,us
2016-09-17T09:29:54.060Z,0.5131,99.4296,108.81,4.7,mb,,110,1.62,1.06,us,us10006qdx,2016-12-12T23:01:27.040Z,"97 km S of Padangsidempuan, Indonesia",earthquake,6.1,6.3,0.076,53,reviewed,us,us
2016-08-22T05:36:23.560Z,0.4909,99.8791,154.81,4.2,mb,,142,1.171,0.46,us,us20006u7z,2016-11-19T04:58:34.040Z,"104 km NNW of Bukittinggi, Indonesia",earthquake,8.4,7.9,0.175,9,reviewed,us,us
2016-05-16T11:20:22.850Z,0.6118,100.0676,188.17,4.2,mb,,110,1.012,1.49,us,us10005jkj,2016-07-22T19:39:09.040Z,"107 km NNW of Bukittinggi, Indonesia",earthquake,8.5,7.3,0.113,22,reviewed,us,us
2016-05-06T21:47:02.140Z,0.3918,100.1889,170.04,4.3,mb,,43,0.853,0.88,us,us10005efm,2016-07-20T18:10:45.040Z,"80 km NNW of Bukittinggi, Indonesia",earthquake,4.8,6,0.062,73,reviewed,us,us
2014-10-25T23:41:33.860Z,0.9145,100.155,204.08,4.1,mb,,64,1.06,0.67,us,usb000sqnh,2015-01-17T01:25:39.040Z,"110 km ESE of Padangsidempuan, Indonesia",earthquake,5.3,5.9,0.091,34,reviewed,us,us
2014-09-11T02:23:57.790Z,0.7628,99.611,137.92,4.3,mb,,93,1.492,0.76,us,usb000seap,2014-12-08T23:30:56.040Z,"77 km SSE of Padangsidempuan, Indonesia",earthquake,4.4,5.7,0.153,14,reviewed,us,us
2014-03-21T18:46:59.280Z,0.6412,99.8453,155.55,4.3,mb,,117,1.234,0.88,us,usc000nk5g,2014-05-24T00:54:38.000Z,"103 km SE of Padangsidempuan, Indonesia",earthquake,,6.1,0.102,29,reviewed,us,us
2013-12-07T18:42:37.090Z,0.3673,99.7163,20.08,4.2,mb,,165,1.323,0.77,us,usc000lhy0,2014-02-15T01:32:12.000Z,"104 km NW of Bukittinggi, Indonesia",earthquake,,7,0.528,,reviewed,us,us
2011-09-14T10:37:02.920Z,0.745,100.115,192.6,4.7,mb,91,46.4,,0.95,us,usp000j81c,2014-11-07T01:45:53.561Z,"117 km SE of Padangsidempuan, Indonesia",earthquake,,3.8,,18,reviewed,us,us
2011-05-06T18:56:44.130Z,0.762,99.945,138.1,5.1,mb,27,129.6,,1.61,us,usp000j144,2014-11-07T01:44:46.426Z,"101 km SE of Padangsidempuan, Indonesia",earthquake,,7.7,,5,reviewed,us,us
2010-07-24T14:59:21.850Z,0.938,99.581,35,4.7,mb,70,36.5,,0.84,us,usp000hgpy,2014-11-07T01:42:00.321Z,"59 km SE of Padangsidempuan, Indonesia",earthquake,,,,18,reviewed,us,us
2010-07-24T02:11:25.650Z,0.997,99.541,42,5.3,mb,200,21.4,,0.99,us,usp000hgn1,2022-07-18T17:03:51.940Z,"51 km SE of Padangsidempuan, Indonesia",earthquake,,4.4,,71,reviewed,us,us
2010-03-14T08:21:50.670Z,0.929,99.467,26.4,4.8,mb,34,110.6,,0.92,us,usp000h9ch,2014-11-07T01:41:00.096Z,"54 km SSE of Padangsidempuan, Indonesia",earthquake,,15.2,,2,reviewed,us,us
2009-09-19T18:35:29.150Z,0.732,99.386,116.4,4.5,mb,64,62.4,,1.14,us,usp000h1p3,2014-11-07T01:39:43.227Z,"72 km S of Padangsidempuan, Indonesia",earthquake,,,,24,reviewed,us,us
2009-09-19T10:50:44.940Z,0.53,99.966,38.4,5.1,mwc,92,40.9,,1,us,usp000h1nt,2016-11-10T02:17:19.812Z,"103 km NNW of Bukittinggi, Indonesia",earthquake,,9,,,reviewed,us,gcmt
2008-10-22T19:57:50.360Z,0.72,99.731,152.5,4.7,mb,51,49.3,,1.06,us,usp000gku1,2014-11-07T01:37:31.508Z,"89 km SE of Padangsidempuan, Indonesia",earthquake,,,,23,reviewed,us,us
2008-08-14T09:08:17.110Z,0.723,99.76,35,4.3,mb,15,183.4,,0.78,us,usp000gen2,2014-11-07T01:36:53.887Z,"90 km SE of Padangsidempuan, Indonesia",earthquake,,,,2,reviewed,us,us
2008-07-13T03:56:54.850Z,0.762,99.716,10,4.3,mb,22,92.8,,1.36,us,usp000gc17,2014-11-07T01:36:37.320Z,"84 km SE of Padangsidempuan, Indonesia",earthquake,,,,7,reviewed,us,us
2008-05-19T18:36:38.680Z,0.779,99.803,10,4,mb,11,178.6,,0.67,us,usp000g78v,2014-11-07T01:36:03.455Z,"88 km SE of Padangsidempuan, Indonesia",earthquake,,,,1,reviewed,us,us
2007-09-05T13:56:29.570Z,0.464,99.728,122.6,4.1,mb,19,114.9,,0.73,us,usp000fmgd,2014-11-07T01:33:30.671Z,"111 km NW of Bukittinggi, Indonesia",earthquake,,35.7,,5,reviewed,us,us
2007-05-09T18:30:57.740Z,0.864,100.112,7.6,4.8,mb,33,85.3,,0.58,us,usp000fbm9,2014-11-07T01:32:26.138Z,"109 km ESE of Padangsidempuan, Indonesia",earthquake,,24.3,,12,reviewed,us,us
2007-04-06T11:46:17.050Z,0.607,99.855,160.8,4.1,mb,11,114.7,,0.61,us,usp000f8vv,2014-11-07T01:32:07.473Z,"northern Sumatra, Indonesia",earthquake,,9.9,,1,reviewed,us,us
2006-12-19T10:18:15.940Z,0.568,100.092,35.6,4.4,mb,24,107.2,,1.25,us,usp000f0jc,2014-11-07T01:31:09.941Z,"101 km NNW of Bukittinggi, Indonesia",earthquake,,16.9,,2,reviewed,us,us
2006-12-18T01:24:20.220Z,0.557,99.368,30,4.7,mb,25,99.6,,1.33,us,usp000f0f5,2014-11-07T01:31:09.661Z,"91 km S of Padangsidempuan, Indonesia",earthquake,,,,9,reviewed,us,us
2006-12-17T23:18:24.750Z,0.514,99.69,30,4,mb,15,121.3,,0.86,us,usp000f0ez,2014-11-07T01:31:09.645Z,"106 km SSE of Padangsidempuan, Indonesia",earthquake,,,,2,reviewed,us,us
2006-12-17T23:01:27.010Z,0.464,99.977,30,4.2,mb,19,111,,1.09,us,usp000f0ey,2014-11-07T01:31:09.643Z,"96 km NNW of Bukittinggi, Indonesia",earthquake,,,,5,reviewed,us,us
2006-12-17T21:54:59.220Z,0.504,99.958,30,4.5,mb,42,46.6,,1.15,us,usp000f0ev,2014-11-07T01:31:09.635Z,"100 km NNW of Bukittinggi, Indonesia",earthquake,,,,12,reviewed,us,us
2006-12-17T21:39:17.450Z,0.626,99.859,30,5.8,mwc,290,29.7,,1.13,us,usp000f0er,2022-07-14T08:32:56.179Z,"105 km SE of Padangsidempuan, Indonesia",earthquake,,,,,reviewed,us,gcmt
2006-09-25T09:15:58.940Z,0.728,100.058,30,4.5,mb,9,178.4,,1.11,us,usp000etsn,2014-11-07T01:30:16.576Z,"113 km SE of Padangsidempuan, Indonesia",earthquake,,,,1,reviewed,us,us
2006-09-22T18:37:59.790Z,0.547,99.616,30,3.9,mb,8,189.1,,0.61,us,usp000etkw,2014-11-07T01:30:15.969Z,"northern Sumatra, Indonesia",earthquake,,,,2,reviewed,us,us
2006-09-22T17:30:02.680Z,0.79,100.091,10,4.5,mb,25,116.3,,1.01,us,usp000etkt,2014-11-07T01:30:15.960Z,"112 km SE of Padangsidempuan, Indonesia",earthquake,,,,9,reviewed,us,us
2006-08-16T06:09:59.430Z,0.759,99.93,128.9,4.1,mb,8,203.8,,1.01,us,usp000er1k,2014-11-07T01:29:58.516Z,"100 km SE of Padangsidempuan, Indonesia",earthquake,,14,,1,reviewed,us,us
2005-10-22T02:03:16.290Z,0.692,100.065,30,4.9,mb,21,97.5,,1.03,us,usp000e2g8,2014-11-07T01:27:27.617Z,"115 km NNW of Bukittinggi, Indonesia",earthquake,,,,8,reviewed,us,us
2005-03-14T09:37:09.980Z,0.693,100.053,154.9,4.5,mb,16,115.1,,0.6,us,usp000dj6a,2014-11-07T01:25:14.355Z,"115 km SE of Padangsidempuan, Indonesia",earthquake,,36.4,,2,reviewed,us,us
2004-10-31T13:26:23.430Z,0.789,99.741,176.8,4,mb,12,188.7,,0.72,us,usp000d7dn,2014-11-07T01:23:50.703Z,"83 km SE of Padangsidempuan, Indonesia",earthquake,,29.2,,3,reviewed,us,us
2004-09-14T07:50:46.480Z,0.502,99.455,10,4.4,mb,10,184,,1.17,us,usp000d48e,2014-11-07T01:23:29.076Z,"99 km SSE of Padangsidempuan, Indonesia",earthquake,,0,,2,reviewed,us,us
