Koordinat A: (30, 10, 50)m
Koordinat B:(90, 70, 60)m
Tinggi alat: 1.5 m
HZA(d;m;s)|HZB(d;m;s)|VZA(d;m;s)|VZB(d;m;s)
7;18;18|150;57;57|-2;-31;-31|-27;-6;-6
8;13;13|149;29;29|-1;-12;-12|-21;-7;-7
10;30;30|146;37;37|3;22;22|-4;-9;-9
10;47;47|146;20;20|3;58;58|-2;-13;-13
11;34;34|145;32;32|6;59;59|6;42;42
12;19;19|144;53;53|7;32;32|8;10;10
12;48;48|144;29;29|10;11;11|14;54;54
13;30;30|143;55;55|12;0;0|18;55;55
13;57;57|143;36;36|13;6;6|21;9;9
14;24;24|143;16;16|15;14;14|25;24;24
15;27;27|142;36;36|15;55;55|25;52;52
18;26;26|141;1;1|17;54;54|27;8;8
19;5;5|140;43;43|19;19;19|29;2;2
19;43;43|140;27;27|20;14;14|30;2;2
20;53;53|139;59;59|21;6;6|30;28;28
21;42;42|139;40;40|21;42;42|30;44;44
22;43;43|139;19;19|22;32;32|31;14;14
23;25;25|139;6;6|22;39;39|30;56;56
24;5;5|138;54;54|22;53;53|30;48;48
24;36;36|138;45;45|24;13;13|32;17;17
25;6;6|138;34;34|25;27;27|33;35;35
26;13;13|138;17;17|26;24;24|34;6;6
26;33;33|138;11;11|26;38;38|34;9;9
26;48;48|138;6;6|27;53;53|35;34;34
27;49;49|137;51;51|27;53;53|34;56;56
28;2;2|137;50;50|28;20;20|35;21;21
28;39;39|137;39;39|28;52;52|35;36;36
28;51;51|137;38;38|29;57;57|36;48;48
32;23;23|136;53;53|25;26;26|29;31;31
